keys,en,ko,ja,zh_CN,zh_TW,id,vi,th,de,de_CH,fr,it,es,ru,pt_PT,pt_BR
otherKeys,en,ko,ja,zh_Hans,zh_Hant,id,vi,th,de,de_ch,fr,it,es,ru,pt_PT,pt_BR
languageTitle,English,한국어,日本語,简体中文,繁體中文,Bahasa Indonesia,Tiếng Việt,ภาษาไทย,Deutsch,Schweizerdeutsch,Français,Italiano,Español,Русский,Português (Portugal),Português (Brasil)
plainText,Hello world!,안녕하세요!,ハローワールド！,你好，世界！,你好，世界！,Halo dunia!,Chào thế giới!,สวัสดีชาวโลก!,Hallo Welt!,Hallo Welt!,Bonjour le monde !,Ciao mondo!,¡Hola mundo!,"Привет, мир!",Olá mundo!,Olá mundo!
welcome,Welcome %name$s!,"%name$s님, 환영합니다!",ようこそ、%name$sさん！,欢迎 %name$s！,歡迎 %name$s！,Selamat datang %name$s!,Chào mừng %name$s!,ยินดีต้อนรับ %name$s!,Willkommen %name$s!,Willkomme %name$s!,Bienvenue %name$s !,Benvenuto %name$s!,¡Bienvenido %name$s!,"Добро пожаловать, %name$s!",Bem-vindo %name$s!,Bem-vindo %name$s!
language,Language,언어,言語,语言,語言,Bahasa,Ngôn ngữ,ภาษา,Sprache,Sprach,Langue,Lingua,Idioma,Язык,Idioma,Idioma
chooseYourLanguage,Choose your language,언어를 선택하세요,言語を選択してください,选择你的语言,選擇您的語言,Pilih bahasamu,Chọn ngôn ngữ của bạn,เลือกภาษาของคุณ,Wähle deine Sprache,Wähl dini Sprach,Choisissez votre langue,Scegli la tua lingua,Elige tu idioma,Выберите язык,Escolhe o teu idioma,Escolha seu idioma
home,Home,홈,ホーム,主页,首頁,Beranda,Trang chủ,หน้าหลัก,Startseite,Startsite,Accueil,Home,Inicio,Главная,Início,Início
keyscope,Keyscope,키스코프,キースコープ
empty,Empty,비어있음
field,Field,필드
value,Value,값
actions,Actions,작업
score,Score,점수
member,Member,멤버
enterStringValue,Enter string value...,문자열 값 입력
deleteKey,Delete Key,키 삭제
addMember,Add Member,멤버 추가,
addSetMember,Add Set Member,집합 멤버 추가
addZSetMember,Add ZSet Member,정렬 집합 멤버 추가,
addItem,Add Item,항목 추가
addField,Add Field,필드 추가
cancel,Cancel,취소
delete,Delete,삭제
save,Save,저장
saveChanges,Save Changes,변경사항 저장
editValue,Edit Value,값 편집
editField,Edit Field,필드 편집
forever,Forever,만료없음
openConnectionManager,Open Connection Manager,연결 관리자 열기
selectKeyToViewDetails,Select a key to view details,상세보기할 키 선택
changeLanguage,Change Language,언어 변경,言語を変更,更改语言,變更語言,Ganti Bahasa,Đổi ngôn ngữ,เปลี่ยนภาษา,Sprache ändern,Sprach ändere,Changer de langue,Cambia lingua,Cambiar idioma,Изменить язык,Alterar idioma,Alterar idioma
searchLanguages,Search languages...,언어 검색...,言語を検索...,搜索语言...,搜尋語言...,Cari bahasa...,Tìm kiếm ngôn ngữ...,ค้นหาภาษา...,Sprachen suchen...,Sprach sueche...,Rechercher des langues...,Cerca lingue...,Buscar idiomas...,Поиск языков...,Procurar idiomas...,Pesquisar idiomas...
currentlyUsedLanguage,Current Language,현재 사용 중인 언어,現在の言語,当前语言,目前使用的語言,Bahasa Saat Ini,Ngôn ngữ hiện tại,ภาษาปัจจุบัน,Aktuelle Sprache,Aktuelli Sprach,Langue actuelle,Lingua corrente,Idioma actual,Текущий язык,Idioma atual,Idioma atual
recentlyUsedLanguages,Recently Used,최근 사용한 언어,最近使用した言語,最近使用,最近使用,Baru Saja Digunakan,Được sử dụng gần đây,ใช้ล่าสุด,Kürzlich verwendet,Vor churzem bruucht,Récemment utilisé,Usato di recente,Usado recientemente,Недавно использованные,Recentemente usado,Usado recentemente
allLanguages,All Languages,모든 언어,すべての言語,所有语言,所有語言,Semua Bahasa,Tất cả ngôn ngữ,ทุกภาษา,Alle Sprachen,Alli Sprachä,Toutes les langues,Tutte le lingue,Todos los idiomas,Все языки,Todos os idiomas,Todos os idiomas